adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count
False,,[],24820,['KR'],ko,아버지처럼 살기 싫었어,,1.2389000000000001,,2001-09-15,아버지처럼 살기 싫었어,0.0,0
False,,[10764],35640,['US'],en,Rendez-View,,1.2227000000000001,,2001-09-17,Rendez-View,0.0,0
False,/io4NdFpVrftB203N2RhpIa22l1i.jpg,[10762],7592,['AU'],en,Escape of the Artful Dodger,,1.2068,/jWAwcwPMKtBX8PdhGEExmC6Il2l.jpg,2001-09-17,Escape of the Artful Dodger,0.0,0
False,/gobXsZVA1wQUuXucgJDQcQi0R69.jpg,"[16, 35, 10751]",94735,['FR'],fr,Les drôles de petites bêtes,,1.1625,/dJ4f0xiHHy6naYvPBTO84oEHCN6.jpg,2001-09-18,Les drôles de petites bêtes,8.0,1
False,/p4BIDmGPo0T3y6yfwdAJQzk4fMV.jpg,[18],36748,['CZ'],cs,Šípková Růženka,,1.1467,/aWL2t8mLmTuonjZDwDFaYtXPHe6.jpg,2001-09-10,Šípková Růženka,1.0,2
False,/b1kOxtfwJ0JeMYCicTGA0582WLI.jpg,[35],11204,['GB'],en,The Sketch Show,,1.1258,/qNiBR9Hw2wpJUmfzBh80UdiHcdV.jpg,2001-09-10,The Sketch Show,7.6,13
False,,"[16, 10762]",13307,['GB'],en,Doctor Otter,,1.1124,,2001-09-06,Doctor Otter,0.0,0
False,,[],223998,['US'],en,tv-ssfbm ehkl Surreal Film,,1.0953,/rEZAZTLxESuRzYleisCMKs8regQ.jpg,2001-09-29,tv-ssfbm ehkl Surreal Film,0.0,0
False,/2eVM4LV8YPZ7166XhnYWvQ0IICB.jpg,[],14806,['US'],en,Access Granted,,1.0935,/5mS1uuTwvs87E5tv7Qx7xMyy3aH.jpg,2001-09-18,Access Granted,0.0,0
False,/6qt6AkPPrYvsx4tH2tw5VFOJLKL.jpg,[18],282822,['CN'],zh,游戏规则,,1.0655000000000001,/1Xqv06BcF6JvTzJ6UD6Hiq4DR7d.jpg,2001-09-01,游戏规则,0.0,0
False,,[35],27904,['NL'],nl,Schiet mij maar lek,,1.0545,/3lyW8zSwAi7MTnBrJ3XmdGU4oPz.jpg,2001-09-06,Schiet mij maar lek,5.0,1
